week_start_date,weekly_sales,store_area,num_employees,store_rating,day,temperature_z,fuel_price_z,cpi_z,unemployment_z,holiday_0,holiday_1,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,store_Store_1,store_Store_10,store_Store_11,store_Store_12,store_Store_13,store_Store_14,store_Store_15,store_Store_16,store_Store_17,store_Store_18,store_Store_19,store_Store_2,store_Store_20,store_Store_3,store_Store_4,store_Store_5,store_Store_6,store_Store_7,store_Store_8,store_Store_9,rating_cat_High,rating_cat_Low,rating_cat_Medium,dataset_split
2023-01-01,8142.460897,4824.188574,29,1.8,1,0.5318278942729854,0.6038926395739754,0.10697867663338541,-1.4501732238500853,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,train
2023-01-01,3719.635649,2124.017996,43,2.4,1,-0.8343607707574829,0.5142936157833802,-0.9124337460123905,0.2838559783849265,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,train
2023-01-01,6956.861137,4112.100973,69,1.7,1,1.3019438341185625,0.6403287510765543,-0.8381074385076015,-0.7171924515740284,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,train
2023-01-01,3317.526628,2546.162027,23,5.0,1,1.652137740118469,1.124630511026288,-0.5765495075550501,-0.018132339064983308,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,train
2023-01-01,9274.52579,3888.572942,96,3.9,1,0.72220515668811,0.22879214287865116,-1.5322763857349366,0.20393890071837026,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,train
2023-01-01,17436.12208,2729.384906,36,7.9,1,-0.10391464695661431,-0.2582239263380098,1.29518990590785,-1.049509997470854,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
2023-01-01,18609.62943,1497.473596,37,5.9,1,0.29127271582017317,1.4493194161089151,-0.012512204737543619,1.26209250987568,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,train
2023-01-01,16362.45487,1033.279769,49,2.7,1,0.9468959847563211,1.4033598349147138,-1.0329135277829529,0.1025480282467915,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,train
2023-01-01,8562.687108,4432.093084,45,8.8,1,0.8996456212097311,-1.1012244412803909,1.4275147478158885,-0.8165647652130272,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,train
2023-01-08,17670.41165,4464.382534,75,1.6,8,1.1143590116145015,0.28184616088269526,-0.6063167517269057,-0.20701036594289687,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,train
2023-01-08,14015.89819,1929.537292,67,9.6,8,0.7524235356185051,1.3407316697935305,0.7127063648426976,-0.7562996147507468,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,train
2023-01-08,4060.777485,4561.638069,75,9.3,8,0.3622060244987329,-0.34219073192869065,1.3112351574961945,0.4149256449850892,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,train
2023-01-08,12087.93136,2306.970168,21,1.8,8,-0.20686488334912975,0.690656246568254,1.2414620453357894,0.042796377674606666,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,train
2023-01-08,14034.30764,3865.588448,19,2.8,8,-0.571144354679485,1.6079986001785531,1.4401276568059413,-1.280196796973896,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,train
2023-01-08,8130.874998,1269.023656,67,2.0,8,-1.3146161401852294,0.6349398795569613,-0.35021260369509327,1.0567199934425497,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,train
2023-01-08,15102.90753,1206.674887,22,4.2,8,0.4847749240238173,-0.014599369510991238,-0.39626364568870087,-1.6353239068276062,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
2023-01-08,15263.72741,2285.982805,41,4.0,8,-1.214228630806487,-0.13114898630029878,1.046833456441318,-0.8720608492782567,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
2023-01-08,16869.21734,3001.604583,86,4.7,8,1.1988920631909572,1.4763467110021982,1.0007299480600509,-1.5879173254594385,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
2023-01-08,8033.744853,3520.988878,57,2.7,8,1.598537146119392,0.9536544977037376,-0.6710010925766294,1.1070709234382197,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,train
2023-01-15,3227.101569,3076.129121,15,2.1,15,0.44625236962981696,-0.9214820452279179,0.24708182397211956,-0.3947624826569791,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,train
2023-01-15,11493.1932,3177.015864,32,1.4,15,-0.13808157289776882,0.5783475109908597,-0.15724380991477804,-0.5881835709181134,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,train
2023-01-15,19196.02436,2838.659482,84,6.3,15,0.1248497973134182,0.9917348803906477,0.7937814773362325,0.5946144838685524,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,train
2023-01-15,15076.31087,4243.514324,96,3.8,15,0.21431663464815642,-1.2840166669107271,1.6574643132433695,0.8019202247726456,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,train
2023-01-15,13422.48352,1407.572403,24,9.2,15,-0.05409232070463219,-0.7625365640766653,0.7123921231658629,1.3144541756798858,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,train
2023-01-15,9592.907214,4217.97857,80,7.5,15,-1.0746349577926462,0.8411302311486737,-0.2852314540049859,0.6939268584635581,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,train
2023-01-15,16720.13594,4576.37721,33,3.8,15,-1.5936912615076726,-1.0878553315465291,-0.9088448436426434,0.9390107022650342,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
2023-01-15,13424.08292,3691.486674,18,7.7,15,0.7391751539910003,1.3110545115331116,0.39702249851796306,1.0277798515931782,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
2023-01-15,12942.29167,4387.875417,99,3.1,15,1.5208777229135173,1.1772225532801477,-0.21148194984352653,-0.1763998103921036,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,train
2023-01-15,4184.955527,1914.707118,46,7.7,15,1.2781955237257674,-1.5915065656413918,1.127813717693439,0.3124866689403632,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
2023-01-15,12811.7192,4285.553452,43,9.8,15,0.31267822425790953,-0.5213683809981893,-1.7815932758108293,-1.2923885079256108,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
2023-01-15,12490.52303,3163.620015,39,7.7,15,-0.05769618480839354,-0.8285467361572002,1.2425176464360703,0.8512626109701207,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,train
